Vegetable Common Name ,Disease Name (Type),Treatment Methods
Mango Ginger,Rhizome Rot (Fungal),"The leaves turn yellow and dry up from the tip. The underground rhizome turns soft and mushy with a foul smell. Treatment: This is the biggest threat to this crop. Prevention is key. Treat seed rhizomes with Trichoderma or hot water (50°C for 30 mins) before planting. Ensure the bed is raised and has excellent drainage. If rot starts, drench the soil with Copper Oxychloride."
Mango Ginger,Leaf Spot (Fungal),"Numerous small, round, brown spots appear on the leaves, causing them to dry up early. This reduces the rhizome size. Treatment: This usually happens in the rainy season. Remove heavily infected leaves. Spray a mild solution of Mancozeb (2g/liter) or an organic copper spray to check the spread."
Mango Ginger,Rhizome Rot (Fungal Infection),Soft rot of the rhizome. Ensure drainage. Treat seed with Mancozeb.
Mango Ginger,Leaf Spot (Fungal Infection),Brown spots reduce yield. Spray Carbendazim.
Mango Ginger,Shoot Borer (Insect Infestation),Dead heart in stem. Cut and burn. Spray Neem oil.
Mango Ginger,Scale Insects (Insect Infestation),Scales on rhizome in storage. Clean before storing.
Mango Ginger,Nematodes (Parasitic Infection),Lesions on rhizome. Use clean seed. Apply Neem cake.
Mango Ginger,Dry Rot (Fungal Infection),Dry decay in storage. Cure properly. Store in sand.
Mango Ginger,Bacterial Wilt (Bacterial Infection),Rapid wilting. Use certified seed. Solarize soil.
Milky Mushroom,Green Mold (Fungal),"Green patches (Trichoderma) appear on the casing soil or mushroom bags, competing with the mushroom spawn. Treatment: This is caused by poor hygiene. Sterilize the straw/substrate thoroughly. If a green spot appears, cover it immediately with salt or a damp cloth soaked in vinegar to stop spores from flying, then remove the bag carefully."
Milky Mushroom,Bacterial Blotch (Bacterial Infection),"Brown, slimy spots on the mushroom cap. Reduce humidity. Chlorinate water (150ppm). Avoid water staying on caps."
Milky Mushroom,Green Mold (Fungal Infection),Green patches on the casing soil or mushroom. Use pasteurized soil. Remove infected bags immediately. Maintain hygiene.
Milky Mushroom,Dry Bubble (Fungal Infection),Deformed mushrooms with bulbous bases. Control fungus gnats. Use clean casing.
Milky Mushroom,Wet Bubble (Fungal Infection),"Mushrooms become a shapeless, rotting mass with amber liquid drops. Cover infected area with salt/lime. Steam sterilize casing soil."
Milky Mushroom,Ink Cap (Weed Fungi),"Black, inky mushrooms appear in the bed. Indicates poor compost ammonia levels. Remove them before they liquify."
Milky Mushroom,Fungus Gnats (Insect Infestation),Larvae eat mushroom mycelium and tunnel into caps. Use light traps. seal the growing room.
Milky Mushroom,Viral Disease (Viral Infection),"Mushrooms are small, leathery, or deformed. Disinfect the room. Use virus-free spawn."
Mint,Mint Rust (Fungal),"Small, dusty, bright orange or brown spots appear on the undersides of leaves. The leaves yellow and drop, ruining the harvest. Treatment: Avoid overhead watering; keep leaves dry. Harvest stems frequently to remove the fungus before it spreads. If severe, cut the entire patch down to the ground and let fresh, clean shoots grow back."
Mint,Stolon Rot (Fungal),"The underground runners (stolons) turn brown and rot. The patch becomes thin and dies out in spots. Treatment: This happens in waterlogged soil. Replant the patch in a new, well-drained raised bed. Dip new planting roots in a mild fungicide or Trichoderma slurry before planting."
Mint,Powdery Mildew (Fungal Infection),White powder on leaves. Spray baking soda solution or wettable sulfur. Harvest frequently to keep air flowing.
Mint,Verticillium Wilt (Fungal Infection),"Plants twist, stunt, and die. Soil-borne fungus. Do not replant mint in the same spot. Solarize soil."
Mint,Leaf Blight (Fungal Infection),Large irregular brown spots. Remove leaves. Avoid wet foliage.
Mint,Aphids (Insect Infestation),Green insects on tips. Wash off with water. Spray soap solution.
Mint,Cutworms (Insect Infestation),Stems cut at base. Handpick larvae in soil.
Mint,Loopers (Insect Infestation),Caterpillars eat leaves. Handpick. Spray Bt.
Mint ,Rust (Fungal Infection),"Orange/brown pustules on the undersides of leaves. This is serious. Use disease-free cuttings. Propane flaming is used in commercial fields, but for home, remove infected stems. Do not overhead water."
Mushroom,Green Mold (Fungal),"Green patches of Trichoderma mold appear on the mushroom growing bags or casing soil, competing with the mushrooms. Treatment: This is caused by poor hygiene. Sterilize the straw/substrate thoroughly before planting. Wash hands and tools with alcohol. Isolate and destroy any bag showing green spots immediately to save the rest of the room."
Mushroom,Mushroom Flies (Insect),"Tiny flies hover around the bags. Their maggots eat the mushroom spawn and tunnel into the stems. Treatment: Install ""Light Traps"" in the growing room to catch adults. Keep the room sealed with fine mesh nets. Ensure the growing medium is fully composted (no smell of ammonia) to avoid attracting flies."
Mushroom,Bacterial Blotch (Pseudomonas),"Brown, slimy lesions on caps. Lower humidity. Water with chlorinated water."
Mushroom,Dry Bubble (Verticillium),"Deformed, dry, leathery mushrooms. Control flies. Use clean casing."
Mushroom,Wet Bubble (Mycogone),Mushrooms rot into foul-smelling mass. Use clean tools. Remove infected clumps carefully.
Mushroom,Cobweb (Dactylium),Fluffy white mold covers the mushroom like a web. Treat with salt. Reduce humidity.
Mushroom,Nematodes (Parasitic Infection),Mycelium disappears; mushrooms don't form. Pasteurize compost effectively.
Mushroom,Sciarid Flies (Insect Infestation),Larvae tunnel into mushrooms. Use fly screens and traps.
Mushroom ,Green Mold (Trichoderma),Green fungal growth on compost/casing. Sterilize compost properly. Maintain hygiene.
Nutmeg Pericarp,Fruit Rot (Fungal),"The outer fleshy rind (used for pickles/vegetables) develops dark brown rotting patches and falls off before the nut matures. Treatment: Prune the tree to allow sunlight to reach the inner branches. Remove fallen, rotting fruits from the ground to stop spores from rising. Spray 1% Bordeaux mixture (copper + lime) before the monsoon starts."
Nutmeg Pericarp,Thread Blight (Fungal Infection),"White, thread-like fungal mycelium covers the underside of leaves and spreads to the fruit, causing rot. Prune infected branches and destroy them. Spray copper-based fungicides. Keep the tree canopy open."
Nutmeg Pericarp,Fruit Split (Physiological),"The fruit splits open before maturity, exposing the mace and seed to rot. This is usually due to irregular watering or nutrient shock. Maintain consistent soil moisture. Apply Potash fertilizers. This is not a germ, so fungicides won't help."
Nutmeg Pericarp,Shot Hole (Fungal Infection),"Leaves develop holes, but the infection also causes necrotic spots on the fruit pericarp. Spray Mancozeb. Remove infected leaves."
Nutmeg Pericarp,Sooty Mold (Fungal Infection),Black coating on the fruit surface due to insect honeydew. Control scale insects with Neem oil. Wash the harvested pericarp with mild soapy water before processing.
Nutmeg Pericarp,Scale Insects (Insect Infestation),"Hard scales suck sap from the fruit skin, causing shriveling. Scrub off scales. Spray horticultural oil. Encourage natural predators."
Nutmeg Pericarp,Diplodia Fruit Rot (Fungal Infection),The fruit turns black and mummifies on the tree. Remove and burn mummified fruits. Spray Copper Oxychloride. Avoid wounding the fruit during harvest.
Nutmeg Pericarp ,Fruit Rot (Fungal Infection),"Water-soaked lesions appear on the fruit skin, causing the pericarp to rot and split prematurely. Collect and burn fallen, infected fruits. Spray Bordeaux mixture (1%) before the monsoon starts. Prune the tree to reduce shade and humidity."
Onion,Black Mold (Fungal),"Black powdery streaks appear between the outer papery layers of the onion bulb, usually after harvest. Ensure the onions are ""cured"" (dried) properly. After harvest, leave them in a warm, dry, shaded area with good airflow for 2 weeks until the neck is tight and dry. Do not harvest wet onions. Handle bulbs gently to avoid bruising. Store in mesh bags."
Onion,Neck Rot (Fungal),"The neck of the onion becomes soft and mushy, eventually rotting the bulb from the inside out. Stop watering the crop 10-14 days before harvest to let the tops dry out naturally. Ensure the neck is fully dry and tight before cutting the tops for storage. Cure onions in a dry, airy place for two weeks. Do not apply nitrogen fertilizer late in the season."
Onion,Basal Rot / Fusarium Rot (Fungal),"The leaves turn yellow and die back from the tip. The roots rot, and a white/pinkish mold grows at the base plate (bottom) of the bulb, making it soft. Treatment: This fungus lives in the soil for years. Practice a long crop rotation (4 years without onions/garlic). Solarize the soil in summer to kill the fungus. Buy treated seeds or sets. Ensure excellent drainage; raised beds are highly recommended. Remove infected plants immediately."
Onion,Onion Maggot (Insect Larvae),"Small white maggots tunnel into the bulb, causing it to rot and wilt. Young seedlings may die completely. Treatment: This pest is attracted to the smell of rotting onions. Remove all ""cull"" (discarded) onions from the garden; never leave them in the soil. Rotate crops to a new location every year. Use floating row covers (mesh) immediately after planting to stop flies from laying eggs. Interplant with mint or marigolds to mask the onion scent."
Onion,Purple Blotch (Fungal),"While it starts on leaves as purple lesions, the infection travels down to the bulb, causing a semi-watery rot around the neck that turns yellow or red. Treatment: Improve air circulation by spacing plants properly. Avoid overhead watering. A spray of Mancozeb or a copper-based fungicide can protect the crop if the weather is warm and humid. Harvest only when the weather is dry."
Onion,Onion Thrips (Insect),#1 Pest. Leaves develop silvery-white streaks and curl. The bulbs remain small and twisted. Treatment: Thrips hide at the base of the leaf. Use Blue sticky traps (they are attracted to blue). Spray water forcefully into the leaf axils to wash them out. Mulch with straw to reduce their population.
Onion,Purple Blotch (Fungal Infection),"Purplish, water-soaked spots on leaves and stalks cause the bulb to remain small and spongy. Spray Mancozeb mixed with a sticky agent (like soap). Ensure good drainage. Harvest only when tops are dry."
Onion,Stemphylium Blight (Fungal Infection),"Small yellow/orange spots on leaves turn black, killing the foliage early and reducing bulb size. Spray Mancozeb. Avoid excessive nitrogen. Remove infected debris."
Onion,Onion Maggot (Insect Infestation),"Maggots tunnel into the bulb, causing it to rot and wilt. Use floating row covers. Apply Neem cake to soil. Rotate crops (do not plant after onions/garlic)."
Onion,Basal Rot (Fungal Infection),The base of the bulb rots; roots turn pink/brown. Soil-borne fungus. Use resistant varieties. Solarize soil. Treat seeds with Trichoderma.
